lingq_id,term,fragment,hint,status,extended_status,tags,importance,last_studied_correct,first_seen,last_synced
633784032,woher,"…A 1– Folge 7: Woher kommst du?- YouTube",,0,0,pronoun;adverb,2,,2026-05-18,2026-05-18
633784068,kommst,"…1– Folge 7: Woher kommst du?- YouTube",,0,0,verb;präsens;herankommen;noun;kommen;du;auskommen;zurückkommen;zurechtkommen;zukommen;wiederkommen;wegkommen;vorkommen;umkommen;überkommen;übereinkommen;runterkommen;rankommen;nahekommen;nachkommen;mitkommen;klarkommen;hochkommen;zusammenkommen;herkommen;hereinkommen;herauskommen;heraufkommen;heimkommen;fortkommen;entgegenkommen;durchkommen;davonkommen;aufkommen;ankommen;herunterkommen;abkommen,2,,2026-05-18,2026-05-18
633784384,auch,"…Lisa:] Auch gut, danke.",,3,0,noun;adverb,3,,2026-05-18,2026-05-18
633784865,spanien,"…Max:] Spanien.",,0,0,noun,2,,2026-05-18,2026-05-18
633784966,wohnst,"…Max:] Wo wohnst du in Spanien?",,0,0,verb;wohnen;präsens;noun;du;beiwohnen;abwohnen,0,,2026-05-18,2026-05-18
633785147,wohne,"…Nico:] Ich wohne in Sevilla.",,0,0,verb;wohnen;präsens;noun;ich;adjective;beiwohnen;abwohnen,1,,2026-05-18,2026-05-18
633785375,machst,"…Max:] Oh. Und was machst du jetzt?",,0,0,verb;präsens;noun;ausmachen;adjective;zumachen;du;machen;mitmachen;anmachen;zunichtemachen;wiedergutmachen;wettmachen;weitermachen;weismachen;wegmachen;vormachen;totmachen;schlechtmachen;saubermachen;nachmachen;krankmachen;klarmachen;zurückmachen;kaputtmachen;kaltmachen;freimachen;fertigmachen;einmachen;durchmachen;dichtmachen;blaumachen;aufmachen;kehrtmachen;abmachen,2,,2026-05-18,2026-05-18
633785412,suche,"…Nico:] Ich suche meine Tante?",,3,0,verb;präsens;noun;ich;aussuchen;adjective;suchen;untersuchen;heimsuchen;aufsuchen;durchsuchen,3,,2026-05-18,2026-05-18
633785467,meine,"…Nico:] Ich suche meine Tante?",,1,0,verb;pronoun;präsens;noun;ich;meinen,3,,2026-05-18,2026-05-18
633785531,wohnt,"…Lisa:] Nicos Tante wohnt hier in Deutschland.",,0,0,verb;wohnen;präsens;noun;er/sie/es;beiwohnen;abwohnen,2,,2026-05-18,2026-05-18
633785673,adresse,"Aber er hat die Adresse nicht.",,3,0,noun,2,,2026-05-18,2026-05-18
633785715,kannst,"…Max:] Kannst du deine Tante anrufen?",,1,0,verb;können;pronoun;präsens;noun;du;fortkönnen,3,,2026-05-18,2026-05-18
633785807,anrufen,"…Kannst du deine Tante anrufen?",,2,0,verb;futur;noun;ich,1,,2026-05-18,2026-05-18
633786239,familie,"…Lisa:] Und deine Familie?",,3,0,noun;adjective,3,,2026-05-18,2026-05-18
633786358,kann,"…Max:] Kann dein Vater nicht helfen?",,2,0,verb;können;präsens;noun;ich;fortkönnen,3,,2026-05-18,2026-05-18
633786484,vater,"…Max:] Kann dein Vater nicht helfen?",,1,0,noun;adjective,3,,2026-05-18,2026-05-18
633786581,helfen,"…Kann dein Vater nicht helfen?",,1,0,verb;präsens;noun;adjective;wir;weiterhelfen;mithelfen;nachhelfen;abhelfen;aushelfen,3,,2026-05-18,2026-05-18
633786642,polizei,"…ist doch bei der Polizei.",,0,0,noun,3,,2026-05-18,2026-05-18
633786813,doch,"Er ist doch bei der Polizei.",,2,0,noun;adverb,3,,2026-05-18,2026-05-18
