Từ,Giống,Loại từ,Nghĩa Việt,Câu ví dụ
weil + Nebensatz,,Ngữ pháp,Dùng để nêu lý do,"Ich bleibe zu Hause, weil ich krank bin. Ich ziehe um, weil mein Partner dort lebt."
sein + Partizip II,,Ngữ pháp,Diễn tả trạng thái là kết quả của một hành động,Die Tür ist geschlossen.
Relativpronomen + Nebensatz,,Ngữ pháp,Dùng để bổ nghĩa cho danh từ,"Das ist der Mann, der mir geholfen hat."
Ihre + Nomen,,Ngữ pháp,Dùng đại từ sở hữu lịch sự trong thư trang trọng,Mit großem Interesse habe ich Ihre Stellenanzeige gelesen.
möchte + Infinitiv,,Ngữ pháp,Dùng để diễn đạt mong muốn lịch sự trong đơn thư / giao tiếp,Ich möchte mich um diese Stelle bewerben.
wenn + Nebensatz,,Ngữ pháp,Dùng để nêu điều kiện,"Wenn es terminlich passt, stehe ich Ihnen ab dem 1. August zur Verfügung."
sich freuen auf + Akkusativ,,Ngữ pháp,Dùng khi mong chờ một việc trong tương lai,Ich freue mich auf die Möglichkeit eines persönlichen Gesprächs.
können + Infinitiv,,Ngữ pháp,Dùng để diễn đạt khả năng / cách liên hệ một cách lịch sự,Sie können mich telefonisch erreichen.
